s; q; CSA; H; DOC; GRID
4; 8; 96943302;16376832;13913150;55953950
4; 16; 96943302;11165044;9574958;30176158
4; 32; 96943302;6755455;6319150;16180261
4; 64; 96943302;3831886;4321198;8583628
4; 128; 96943302;2098530;3210102;4508523
8; 8; 59468900;16376832;13913150;55953950
8; 16; 59468900;11165044;9574958;30176158
8; 32; 59468900;6755455;6319150;16180261
8; 64; 59468900;3831886;4321198;8583628
8; 128; 59468900;2098530;3210102;4508523
16; 8; 40798275;16376832;13913150;55953950
16; 16; 40798275;11165044;9574958;30176158
16; 32; 40798275;6755455;6319150;16180261
16; 64; 40798275;3831886;4321198;8583628
16; 128; 40798275;2098530;3210102;4508523
32; 8; 31496387;16376832;13913150;55953950
32; 16; 31496387;11165044;9574958;30176158
32; 32; 31496387;6755455;6319150;16180261
32; 64; 31496387;3831886;4321198;8583628
32; 128; 31496387;2098530;3210102;4508523
64; 8; 26861839;16376832;13913150;55953950
64; 16; 26861839;11165044;9574958;30176158
64; 32; 26861839;6755455;6319150;16180261
64; 64; 26861839;3831886;4321198;8583628
64; 128; 26861839;2098530;3210102;4508523
