s; q; Avg; Median; Max; Sigma
4; 16   ;   391.5621 ;    401 ;   1122 ;   107.97634 
4; 8    ;     392.08 ;    406 ;    979 ;   100.72082 
4; 32   ;   431.7234 ;    398 ;   2201 ;   216.26316 
8; 8    ;   450.6911 ;    456 ;   1159 ;   106.24124 
8; 16   ;   487.8408 ;    468 ;   2155 ;   190.06931 
4; 64   ;   582.3158 ;    401 ;   3838 ;   530.07558 
16; 8   ;   593.2782 ;    582 ;   2025 ;   177.73029 
8; 32   ;   601.6236 ;    466 ;   4005 ;   494.80051 
16; 16  ;   674.3017 ;    585 ;   4049 ;    428.9583 
32; 8   ;   858.4138 ;    805 ;   4151 ;   368.80031 
16; 32  ;   952.4611 ;    593 ;   7296 ;  1119.55277 
8; 64   ;   964.5519 ;    476 ;   7269 ;   1204.4305 
32; 16  ;  1035.4793 ;    813 ;   8079 ;   915.82922 
4; 128  ;  1042.0125 ;    420 ;   7217 ;  1258.84996 
64; 8   ;  1339.5104 ;   1215 ;   7466 ;   742.80764 
32; 32  ;  1617.0704 ;    814 ;  14481 ;  2357.73812 
64; 16  ;  1697.3514 ;   1217 ;  14248 ;   1851.6182 
16; 64  ;  1761.8255 ;    602 ;  14502 ;  2663.75146 
8; 128  ;  1961.2685 ;    495 ;  14519 ;  2736.52312 
64; 32  ;  2859.2614 ;   1221 ;  26719 ;  4694.76354 
32; 64  ;  3303.1758 ;    831 ;  28602 ;  5510.40343 
16; 128 ;  3971.1694 ;    636 ;  29485 ;    5994.156 
64; 64  ;  6217.3069 ;   1263 ;  54849 ; 10919.26482 
32; 128 ;  7871.1286 ;    888 ;  55756 ;  12348.9383 
64; 128 ; 15348.9582 ;   1364 ; 104302 ; 24588.50594 
